,ANIO_DENUNCIA,ANIO_HECHO,CAPTURA,CONDENA,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,MUNICIPIO,PAIS,PAIS_NACIMIENTO,SEXO_VICTIMA,TOTAL_VICTIMAS,TOTAL_POBLACIÓN,TOTAL_FEMINICIDIOS,PORCENTAJE_TOTAL,PORCENTAJE_FEMINICIDIOS,MUNICIPIO_UNICO,PORCENTAJE_FEMINICIDIOS_UNICO
425,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,SI,NO,BUCARAMANGA,Colombia,Colombia,FEMENINO,1,528572,70,100%,0.013243228926239%,SOPETRÁN,0.00731020870645857%
426,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,ACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,NO,NO,MARIQUITA,Colombia,Colombia,FEMENINO,1,33348,4,100%,0.0119947223221782%,EL SANTUARIO,0.150037509377344%
427,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,IBAGUÉ,Colombia,Colombia,FEMENINO,1,579803,120,100%,0.0206966849084948%,PANQUEBA,0.02963841138115%
428,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,IBAGUÉ,Colombia,Colombia,FEMENINO,1,579803,120,100%,0.0206966849084948%,MARULANDA,0.00711505036439222%
429,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,IBAGUÉ,Colombia,Colombia,FEMENINO,1,579803,120,100%,0.0206966849084948%,GARZÓN,0.00636375206821942%
430,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,IBAGUÉ,Colombia,Colombia,FEMENINO,3,579803,120,100%,0.0206966849084948%,CHIBOLO,0.0169635284139101%
431,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,INACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,NO,NO,IBAGUÉ,Colombia,Colombia,FEMENINO,1,579803,120,100%,0.0206966849084948%,ANDALUCÍA,0.0189158514835432%
432,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,IBAGUÉ,Colombia,Colombia,FEMENINO,1,579803,120,100%,0.0206966849084948%,DAGUA,0.00413462333581411%
433,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,INACTIVO,JUICIO,SIN DATO,SI,NO,SI,SAN ANTONIO,Colombia,Colombia,FEMENINO,1,13974,1,100%,0.007156147130385%,EL ZULIA,0.00398628717212788%
434,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,SI,NO,BUENAVENTURA,Colombia,Colombia,FEMENINO,1,440995,33,100%,0.00748307803943356%,ACHÍ,0.00523121992048546%
435,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,BUENAVENTURA,Colombia,Colombia,FEMENINO,2,440995,33,100%,0.00748307803943356%,PUERTO BOYACÁ,0.046882325363338%
436,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,CALI,Colombia,Colombia,FEMENINO,2,2496346,444,100%,0.0177859960117708%,SATIVANORTE,0.0044529545353342%
437,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,4,2496346,444,100%,0.0177859960117708%,MANZANARES,0.0146316482551759%
438,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,BUENAVENTURA,Colombia,Colombia,FEMENINO,1,440995,33,100%,0.00748307803943356%,ROSAS,0.0180456555084363%
439,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,CALI,Colombia,Colombia,FEMENINO,4,2496346,444,100%,0.0177859960117708%,TIMBIQUÍ,0.00418488836810278%
440,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,RESTREPO,Colombia,Colombia,FEMENINO,1,10715,11,100%,0.102659822678488%,LA VEGA,0.0107677398514052%
441,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,TULUÁ,Colombia,Colombia,FEMENINO,1,224257,14,100%,0.00624283745880842%,TAUSA,0.0141522785168412%
442,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,CALI,Colombia,Colombia,MASCULINO,1,2496346,444,100%,0.0177859960117708%,HOBO,0.00694058856191005%
443,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,100%,0.0177859960117708%,SANTA BÁRBARA,0.0404040404040404%
444,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,NO,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,100%,0.0177859960117708%,CHARTA,0.033003300330033%
445,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,100%,0.0177859960117708%,CONCEPCIÓN,0.011401208528104%
446,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,100%,0.0177859960117708%,YALÍ,0.00678195998643608%
447,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,JAMUNDÍ,Colombia,Colombia,FEMENINO,1,132540,11,100%,0.00829938131884714%,TIBASOSA,0.00764853454078199%
448,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,PALMIRA,Colombia,Colombia,FEMENINO,1,314418,46,100%,0.0146302056498038%,RIOSUCIO,0.00759042088883829%
449,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,2,2496346,444,100%,0.0177859960117708%,PENSILVANIA,0.00376818147561987%
450,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTO MAYOR DE 60,SI,SI,NO,CALI,Colombia,Colombia,MASCULINO,1,2496346,444,100%,0.0177859960117708%,BALBOA,0.0109481059776659%
451,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,BUENAVENTURA,Colombia,Colombia,FEMENINO,1,440995,33,100%,0.00748307803943356%,MEDIO SAN JUAN,0.00218264361795006%
452,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,100%,0.0177859960117708%,SAN PELAYO,0.00338845215505557%
453,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,CALI,Colombia,Colombia,MASCULINO,1,2496346,444,100%,0.0177859960117708%,MOÑITOS,0.0198925800676348%
454,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,3,2496346,444,100%,0.0177859960117708%,GUAYABETAL,0.014168319637291%
455,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,100%,0.0177859960117708%,LA PEÑA,0.0272108843537415%
456,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Vaupés,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,MITÚ,Colombia,Colombia,FEMENINO,1,33079,2,100%,0.00604613198706128%,SANTA MARÍA,0.0291375291375291%
457,2018,2018,NO,NO,"FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 6, 7 Y 6 (SIC) DEL ART. 104. ART. 104B L.G Modificado Ley 2197 de 2022",Atlántico,ACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,NO,NO,BARRANQUILLA,Colombia,Colombia,FEMENINO,1,1239804,86,100%,0.00693658029817616%,COLÓN,0.0154306699996914%
458,2018,2018,NO,NO,"FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G",Cauca,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,POPAYÁN,Colombia,Colombia,FEMENINO,1,288636,41,100%,0.0142047423051872%,LA VIRGINIA,0.00503220611916264%
459,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,INACTIVO,QUERELLABLE,JUVENTUD 18 - 28,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,100%,0.0098320329524366%,VENADILLO,0.00420857708008922%
460,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Chocó,INACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,QUIBDO,Colombia,Colombia,FEMENINO,1,116322,28,100%,0.0240711129451007%,ZARZAL,0.00603391057744524%
461,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,LEJANÍAS,Colombia,Colombia,FEMENINO,1,9229,8,100%,0.0866832809621844%,ANSERMA,0.00434933890048713%
462,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,FLORIDABLANCA,Colombia,Colombia,FEMENINO,1,267936,20,100%,0.00746446912695569%,MUTATÁ,0.00973330737784699%
463,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,IBAGUÉ,Colombia,Colombia,FEMENINO,1,579803,120,100%,0.0206966849084948%,CÉRTEGUI,0.00208903465708496%
464,2018,2018,NO,SI,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,ANORÍ,Colombia,Colombia,FEMENINO,1,18166,2,100%,0.0110095783331498%,VALENCIA,0.00542387590171937%
465,2018,2018,NO,SI,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,MEDELLÍN,Colombia,Colombia,FEMENINO,1,2569007,215,100%,0.00836899237721034%,TARQUI,0.00551602404986486%
466,2018,2018,NO,SI,FEMINICIDIO ART. 104A C.P.,"Archipiélago de San Andrés, Providencia y Santa Catalina",INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,NO,SI,SAN ANDRÉS,Colombia,Colombia,FEMENINO,1,7986,6,100%,0.0751314800901578%,URIBE,0.0265208022542682%
467,2018,2018,NO,SI,FEMINICIDIO ART. 104A C.P.,Bolívar,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,NO,SI,SAN PABLO,Colombia,Colombia,FEMENINO,1,37160,4,100%,0.0107642626480086%,PLANADAS,0.0030458089668616%
468,2018,2018,NO,SI,FEMINICIDIO ART. 104A C.P.,Bolívar,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,NO,CANTAGALLO,Colombia,Colombia,FEMENINO,1,10053,3,100%,0.0298418382572366%,SANTACRUZ,0.00815993472052224%
469,2018,2018,NO,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,VILLAPINZÓN,Colombia,Colombia,FEMENINO,1,21380,1,100%,0.00467726847521048%,LA MONTAÑITA,0.0124953142571536%
470,2018,2018,NO,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,SI,EL COLEGIO,Colombia,Colombia,FEMENINO,1,22335,5,100%,0.0223863890754421%,SAN LUIS DE PALENQUE,0.0127991808524254%
471,2018,2018,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,ACTIVO,INVESTIGACIÓN,JUVENTUD 18 - 28,SI,SI,SI,GRANADA,Colombia,Colombia,FEMENINO,1,9890,4,100%,0.0404448938321537%,APULO,0.0271812992661049%
472,2018,2018,SI,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,MEDELLÍN,Colombia,Colombia,FEMENINO,1,2569007,215,100%,0.00836899237721034%,GUAYABAL DE SIQUIMA,0.003648370090662%
473,2018,2018,SI,NO,FEMINICIDIO ART. 104A C.P.,Atlántico,ACTIVO,INVESTIGACIÓN,SIN DATO,SI,NO,SI,REPELÓN,Colombia,Colombia,FEMENINO,1,27770,2,100%,0.0072020165646381%,VALLE DEL GUAMUEZ,0.00604180932049785%
474,2018,2018,SI,NO,FEMINICIDIO ART. 104A C.P.,Caldas,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,SI,NO,MANIZALES,Colombia,Colombia,FEMENINO,1,402646,23,100%,0.00571221370633261%,YARUMAL,0.0058732551537814%
475,2018,2018,SI,NO,FEMINICIDIO ART. 104A C.P.,Caquetá,ACTIVO,JUICIO,JUVENTUD 18 - 28,SI,SI,SI,FLORENCIA,Colombia,Colombia,MASCULINO,1,187515,14,100%,0.00746606938111618%,PUERTO BERRÍO,0.00164923970049807%
476,2018,2018,SI,NO,FEMINICIDIO ART. 104A C.P.,Chocó,INACTIVO,INVESTIGACIÓN,SIN DATO,SI,SI,SI,BAHÍA SOLANO,Colombia,Colombia,FEMENINO,1,9450,1,100%,0.0105820105820106%,BARANOA,0.00834097923096171%
477,2018,2018,SI,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,INACTIVO,INVESTIGACIÓN,SIN DATO,SI,SI,SI,SANTA MARTA,Colombia,Colombia,FEMENINO,1,524031,75,100%,0.0143121303892327%,ZAMBRANO,0.00459305530038582%
478,2018,2018,SI,NO,FEMINICIDIO ART. 104A C.P.,Tolima,INACTIVO,INVESTIGACIÓN,ADULTEZ 29 - 59,SI,NO,SI,RIOBLANCO,Colombia,Colombia,FEMENINO,1,24039,6,100%,0.0249594409085236%,EL PAUJIL,0.017825311942959%
479,2018,2018,SI,NO,FEMINICIDIO ART. 104A C.P.,Tolima,INACTIVO,INVESTIGACIÓN,ADULTEZ 29 - 59,SI,SI,SI,RIOBLANCO,Colombia,Colombia,FEMENINO,1,24039,6,100%,0.0249594409085236%,LA JAGUA DE IBIRICO,0.0113122171945701%
480,2018,2018,SI,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,CALI,Colombia,Colombia,MASCULINO,1,2496346,444,100%,0.0177859960117708%,GAMARRA,0.00364086506954052%
481,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Amazonas,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,TARAPACÁ,Colombia,Colombia,FEMENINO,1,4398,1,100%,0.022737608003638%,LOS CÓRDOBAS,0.00261560996024273%
482,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,EJECUCIÓN DE PENAS,ADULTEZ 29 - 59,SI,SI,SI,MEDELLÍN,Colombia,Colombia,FEMENINO,1,2569007,215,100%,0.00836899237721034%,BARRANCAS,0.00537403267411866%
483,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,SANTA BARBARA,Colombia,Colombia,FEMENINO,1,21238,1,100%,0.00470854129390715%,GUARANDA,0.0263365815117198%
484,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,SI,MEDELLÍN,Colombia,Colombia,FEMENINO,1,2569007,215,100%,0.00836899237721034%,HERVEO,0.00278218290070389%
485,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Arauca,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,NO,TAME,Colombia,Colombia,FEMENINO,1,55028,9,100%,0.0163553100239878%,TIMBÍO,0.00756601346750397%
486,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Atlántico,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,SI,SOLEDAD,Colombia,Colombia,FEMENINO,1,700970,35,100%,0.00499308101630598%,CIUDAD BOLÍVAR,0.0204290091930541%
487,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Bolívar,INACTIVO,EJECUCIÓN DE PENAS,ADULTEZ 29 - 59,SI,SI,SI,MAGANGUÉ,Colombia,Colombia,FEMENINO,1,123986,9,100%,0.00725888406755602%,HISPANIA,0.0168397417906259%
488,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Caldas,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,MANIZALES,Colombia,Colombia,FEMENINO,1,402646,23,100%,0.00571221370633261%,BETULIA,0.00418182578513779%
489,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Córdoba,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,SI,SI,PUERTO ESCONDIDO,Colombia,Colombia,FEMENINO,1,33670,2,100%,0.00594000594000594%,PONEDERA,0.0542152344808891%
490,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,ACTIVO,INVESTIGACIÓN,SIN DATO,SI,SI,SI,SOACHA,Colombia,Colombia,FEMENINO,1,567546,38,100%,0.00669549252395401%,TÓPAGA,0.0193050193050193%
491,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,LA MESA,Colombia,Colombia,FEMENINO,1,33718,4,100%,0.0118630998279851%,TOTA,0.0173280194073817%
492,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,SI,LA MESA,Colombia,Colombia,FEMENINO,1,33718,4,100%,0.0118630998279851%,SUTAMARCHÁN,0.0198019801980198%
493,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,SI,SOACHA,Colombia,Colombia,FEMENINO,1,567546,38,100%,0.00669549252395401%,ÚTICA,0.00336541697516322%
494,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,SI,SI,SOACHA,Colombia,Colombia,FEMENINO,1,567546,38,100%,0.00669549252395401%,SOPÓ,0.00968710646130001%
495,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Huila,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,RIVERA,Colombia,Colombia,FEMENINO,1,19751,3,100%,0.0151891043491469%,INÍRIDA,0.0108354101202731%
496,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Norte de Santander,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,NO,SI,LOS PATIOS,Colombia,Colombia,FEMENINO,1,81122,6,100%,0.00739626735041049%,SAN ZENÓN,0.00320862478341783%
497,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Quindío,INACTIVO,EJECUCIÓN DE PENAS,ADULTEZ 29 - 59,SI,SI,SI,ARMENIA,Colombia,Colombia,FEMENINO,1,3765,30,100%,0.796812749003984%,CIRCASIA,0.00826173165895572%
498,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Risaralda,INACTIVO,EJECUCIÓN DE PENAS,ADULTEZ 29 - 59,SI,SI,SI,DOSQUEBRADAS,Colombia,Colombia,FEMENINO,1,208646,8,100%,0.00383424556425716%,CURITÍ,0.01308386759126%
499,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Tolima,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,SI,SI,ROVIRA,Colombia,Colombia,MASCULINO,1,20164,5,100%,0.0247966673279111%,DOLORES,0.0119445771619685%
500,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,CANDELARIA,Colombia,Colombia,FEMENINO,1,12589,14,100%,0.111208197632854%,TORO,0.00762427569380909%
501,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,CARTAGO,Colombia,Colombia,FEMENINO,1,135621,11,100%,0.00811083829200492%,BECERRIL,0.00848320325755005%
502,2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,EJECUCIÓN DE PENAS,PRE-ADOLESCENTE 12 - 13,SI,SI,SI,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,100%,0.0177859960117708%,ANOLAIMA,0.0397772474144789%
503,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Atlántico,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,NO,SI,NO,SOLEDAD,Colombia,Colombia,FEMENINO,1,700970,35,100%,0.00499308101630598%,SANTA SOFÍA,0.0111607142857143%
504,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,NO,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,100%,0.0098320329524366%,TERUEL,0.00533447135388883%
505,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,NO,NO,NO,MARÍA LA BAJA,Colombia,Colombia,MASCULINO,1,49774,3,100%,0.00602724313898823%,VÉLEZ,0.00782962730974006%
506,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,NO,NO,NO,EL CARMEN DE BOLÍVAR,Colombia,Colombia,FEMENINO,1,79606,3,100%,0.003768560158782%,LOS SANTOS,0.0124633887954135%
507,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,NO,SI,NO,MARÍA LA BAJA,Colombia,Colombia,FEMENINO,1,49774,3,100%,0.00602724313898823%,SAN VICENTE,0.00992161920825479%
508,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,INACTIVO,INDAGACIÓN,SIN DATO,NO,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,100%,0.0098320329524366%,CONCORDIA,0.0111111111111111%
509,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,INACTIVO,INDAGACIÓN,SIN DATO,NO,NO,NO,ARCABUCO,Colombia,Colombia,FEMENINO,1,5251,1,100%,0.0190439916206437%,NUNCHÍA,0.0113558937088349%
510,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Córdoba,INACTIVO,INDAGACIÓN,SIN DATO,NO,SI,NO,PLANETA RICA,Colombia,Colombia,FEMENINO,1,69708,2,100%,0.00286911114936593%,SALAZAR,0.0052099614462853%
511,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,NO,NO,NO,VILLAVICENCIO,Colombia,Colombia,FEMENINO,1,538527,53,100%,0.00984166067810899%,LOS PALMITOS,0.00705318098462407%
512,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Putumayo,INACTIVO,INDAGACIÓN,SIN DATO,NO,NO,NO,MOCOA,Colombia,Colombia,FEMENINO,2,46616,20,100%,0.042903724043247%,RÁQUIRA,0.0168976005407232%
513,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Sucre,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,NO,NO,NO,COROZAL,Colombia,Colombia,FEMENINO,1,64497,5,100%,0.00775229855652201%,BELÉN DE LOS ANDAQUIES,0.00546149645002731%
514,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,NO,NO,NO,IBAGUÉ,Colombia,Colombia,FEMENINO,1,579803,120,100%,0.0206966849084948%,SUÁREZ,0.0264620269912675%
515,2018,2018,SI,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,INVESTIGACIÓN,SIN DATO,NO,NO,SI,MEDELLÍN,Colombia,Colombia,FEMENINO,1,2569007,215,100%,0.00836899237721034%,ATRATO,0.00410812587297675%
516,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,NO,NO,NO,CALI,Colombia,Colombia,MASCULINO,2,2496346,444,100%,0.0177859960117708%,MARSELLA,0.0198333994446648%
517,2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P. AGRAVADO POR COMETERSE EN PRESENCIA DE UNA PERSONA INTEGRANTE DE LA UNIDAD DOMESTICA. ART. 104B L.E,Valle del Cauca,INACTIVO,INDAGACIÓN,SIN DATO,NO,NO,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,100%,0.0177859960117708%,CHIPATÁ,0.00571689915389893%
